SubLocation,Country,latlon,place,sub_latlon,sub_place,FlighNumber
"New York-Floyd Bennett Field, NYNOP)",United States of America,"(37.09024, -95.712891)",United States,"(40.5910174, -73.89060909999999)","1 Floyd Bennett Fld, Brooklyn, NY 11234, USA",189
"Fairbanks, AK",United States of America,"(37.09024, -95.712891)",United States,"(64.8377778, -147.7163889)","Fairbanks, AK, USA",190
"Fairbanks, AK",United States of America,"(37.09024, -95.712891)",United States,"(64.8377778, -147.7163889)","Fairbanks, AK, USA",191
Daytona Beach Municipal Airport,United States of America,"(37.09024, -95.712891)",United States,"(29.1849553, -81.0608287)","Daytona Beach International Airport (DAB), 700 Catalina Dr, Daytona Beach, FL 32114, USA",192
Chilang Point,China,"(35.86166, 104.195397)",China,"(20.719484, 106.2250793)","Chi Lăng Bắc, Đình Cao, Thanh Miện, Hưng Yên, Vietnam",193
near Bistrita,Romania,"(45.943161, 24.96676)",Romania,"(47.1392617, 24.4890979)","Bistrița, Romania",194
Wadi Halfa ,Sudan,"(12.862807, 30.217636)",Sudan,"(21.7991419, 31.3713164)","Wadi Halfa, Sudan",195
Kunming,China,"(35.86166, 104.195397)",China,"(24.880095, 102.832891)","Kunming, Yunnan, China",196
 Cristóbal,Panama,"(8.537981, -80.782127)",Panama,"(9.350598999999999, -79.901527)","Cristóbal, Panama",197
Johannesburg-Rand AirportQRA),South Africa,"(-30.559482, 22.937506)",South Africa,"(-26.239343, 28.153792)","Rand Airport, Main Terminal Building, Rand Airport Rd, Airport Park, Germiston, 1419, South Africa",198
Johannesburg-Rand AirportQRA),South Africa,"(-30.559482, 22.937506)",South Africa,"(-26.239343, 28.153792)","Rand Airport, Main Terminal Building, Rand Airport Rd, Airport Park, Germiston, 1419, South Africa",199
Ancud,Chile,"(-35.675147, -71.542969)",Chile,"(-41.8675003, -73.8276965)","Ancud, Los Lagos Region, Chile",200
Karachi,Pakistan,"(30.375321, 69.34511599999999)",Pakistan,"(24.8614622, 67.0099388)","Karachi, Pakistan",201
"Belleville, IL",United States of America,"(37.09024, -95.712891)",United States,"(38.5200504, -89.9839935)","Belleville, IL, USA",202
"Clay Springs, AZ",United States of America,"(37.09024, -95.712891)",United States,"(34.3617875, -110.2957743)","Clay Springs, AZ, USA",203
Liegnitz,Germany,"(51.165691, 10.451526)",Germany,"(51.2070067, 16.1553231)","Legnica, Poland",204
Santander-La Albericia Airport,Spain,"(40.46366700000001, -3.74922)",Spain,"(43.423292, -3.8242487)","Seve Ballesteros-Santander Airport, Carretera del Aeropuerto, s/n, 39600 Maliaño, Cantabria, Spain",205
Valencia,Spain,"(40.46366700000001, -3.74922)",Spain,"(28.5229956, -81.4634245)","1800 S Kirkman Rd, Orlando, FL 32811, USA",206
"Lake Spenard, AK",United States of America,"(37.09024, -95.712891)",United States,"(61.1782535, -149.9509345)","Lake Spenard, Anchorage, AK, USA",207
"near Clifton, PA",United States of America,"(37.09024, -95.712891)",United States,"(39.9292791, -75.2962972)","Clifton Heights, PA 19018, USA",208
"near Clifton, PA",United States of America,"(37.09024, -95.712891)",United States,"(39.9292791, -75.2962972)","Clifton Heights, PA 19018, USA",209
Ouroux,France,"(46.227638, 2.213749)",France,"(46.231418, 4.593407)","69860 Ouroux, France",210
Elsdorf,Germany,"(51.165691, 10.451526)",Germany,"(50.9392493, 6.5635008)","Elsdorf, Germany",211
"near Atlanta, GA",United States of America,"(37.09024, -95.712891)",United States,"(33.7489954, -84.3879824)","Atlanta, GA, USA",212
 San Francisco Municipal Airport,United States of America,"(37.09024, -95.712891)",United States,"(37.6213129, -122.3789554)","San Francisco International Airport (SFO), San Francisco, CA 94128, USA",213
10 km6.3 mls) S of Oran,Algeria,"(28.033886, 1.659626)",Algeria,"(13.8634539, 100.6305782)","44/10 Soi KM. 4, Khwaeng Tha Raeng, Khet Bang Khen, Krung Thep Maha Nakhon 10220, Thailand",214
"Sioux City, IA",United States of America,"(37.09024, -95.712891)",United States,"(42.4999942, -96.40030689999999)","Sioux City, IA, USA",215
near Facatativá,Colombia,"(4.570868, -74.297333)",Colombia,"(4.809984, -74.35400899999999)","Facatativá, Facatativa, Cundinamarca, Colombia",216
San Cristobal,Cuba,"(21.521757, -77.781167)",Cuba,"(16.7370359, -92.6376186)","San Cristobal de las Casas, Chis., Mexico",217
Bangkok-Suvarnabhumi International AirportBKK),Thailand,"(15.870032, 100.992541)",Thailand,"(13.6899991, 100.7501124)","Suvarnabhumi Airport (BKK), 999 หมู่ 1 Nong Prue, Amphoe Bang Phli, Chang Wat Samut Prakan 10540, Thailand",218
Orchid Island AirportKYD),Taiwan,"(23.69781, 120.960515)",Taiwan,"(22.027815, 121.5357771)","Lanyu Airport (KYD), Lanyu Township, Taitung County, Taiwan 952",219
Kopinang ,Guyana,"(4.860416, -58.93018)",Guyana,"(4.933333, -59.8)","Kopinang Mission, Guyana",220
Oksibil Airport,Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-4.9085907, 140.6289697)","Oksibil Airport, Kotdol, Serambakon, Pegunungan Bintang Regency, Papua 99573, Indonesia",221
Alicante AirportALC),Spain,"(40.46366700000001, -3.74922)",Spain,"(38.285483, -0.560056)","Alicante Airport (ALC), 03195 L'Altet, Alicante, Spain",222
Sibu AirportSBW),Malaysia,"(4.210484, 101.975766)",Malaysia,"(2.2560773, 111.9863462)","Sibu Airport, Sibu Airport (SBW), Lapangan Terbang Sibu, 96000 Sibu, Sarawak, Malaysia",223
"Tampa International Airport, FLTPA)",United States of America,"(37.09024, -95.712891)",United States,"(27.9834776, -82.5370781)","Tampa International Airport (TPA), 4100 George J Bean Pkwy, Tampa, FL 33607, USA",224
Yei Airport,South Sudan,"(6.876991899999999, 31.3069788)",South Sudan,"(40.254596, 29.5568343)","Yolören Mahallesi, Bursa Yenisehir Airport, Bursa Cd. No:50, 16900 Yenişehir/Bursa, Turkey",225
La Paragua,Venezuela,"(6.42375, -66.58973)",Venezuela,"(6.835201899999999, -63.35056059999999)","La Paragua, Bolívar, Venezuela",226
Jauja-Francisco Carlé AirportJAU),Peru,"(-9.189967, -75.015152)",Peru,"(-11.7840481, -75.47358539999999)","Francisco Carle Airport (JAU), Av Francisco Carle S/N, Jauja, Peru",227
Ardabil AirportADU),Iran,"(32.427908, 53.688046)",Iran,"(38.3236124, 48.42172619999999)","Ardabil Province, Ardabil, 16, Ardabil Airport, Iran",228
Mutare Airport,Zimbabwe,"(-19.015438, 29.154857)",Zimbabwe,"(-18.9973073, 32.6269054)","Mutare Airport Terminal (UTA), Mutare, Zimbabwe",229
"Marietta, GA",United States of America,"(37.09024, -95.712891)",United States,"(33.95260200000001, -84.5499327)","Marietta, GA, USA",230
Boise Air Terminal,United States of America,"(37.09024, -95.712891)",United States,"(43.5658231, -116.222316)","Boise Airport (BOI), 3201 W Airport Way #1000, Boise, ID 83705, USA",231
Wau AirportWUU),South Sudan,"(6.876991899999999, 31.3069788)",South Sudan,"(7.725793700000001, 27.9732248)","Wau Airport (WUU), Wau, South Sudan",232
Jakarta-Halim Perdana Kusuma AirportHLP),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-6.267085799999999, 106.8873759)","Halim Perdanakusuma Airport, Jl. Halim Perdana Kusuma, RT.13/RW.4, Halim Perdana Kusumah, Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13610, Indonesia",233
Nassau-Lynden Pindling International AirportNAS),Bahamas,"(25.03428, -77.39627999999999)",The Bahamas,"(25.0439288, -77.4655212)","Lynden Pindling International Airport, Windsor Field Road, Nassau, The Bahamas",234
"Hamilton Airport, ONYHM/CYHM)",Canada,"(56.130366, -106.346771)",Canada,"(43.1675265, -79.92885319999999)","John C. Munro Hamilton International Airport, 9300 Airport Road, #2206, Mount Hope, ON L0R 1W0, Canada",235
"Hamilton Airport, ONYHM/CYHM)",Canada,"(56.130366, -106.346771)",Canada,"(43.1675265, -79.92885319999999)","John C. Munro Hamilton International Airport, 9300 Airport Road, #2206, Mount Hope, ON L0R 1W0, Canada",236
"Hamilton Airport, ONYHM/CYHM)",Canada,"(56.130366, -106.346771)",Canada,"(43.1675265, -79.92885319999999)","John C. Munro Hamilton International Airport, 9300 Airport Road, #2206, Mount Hope, ON L0R 1W0, Canada",237
Detroit-Willow Run Airport,United States of America,"(37.09024, -95.712891)",United States,"(42.2378031, -83.5242868)","Willow Run Airport, 801 Willow Run Airport, Ypsilanti, MI 48198, USA",238
Manchester AirportMAN),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(53.3588026, -2.2727303)","Manchester Airport (MAN), Manchester M90 1QX, UK",239
Caracas/La Carlota-Gen. Francisco de Miranda Air Base,Venezuela,"(6.42375, -66.58973)",Venezuela,"(10.4880756, -66.8455195)","Aeropuerto Francisco de Miranda, Caracas, Distrito Capital, Venezuela",240
Amsterdam-Schiphol International AirportAMS),Netherlands,"(52.132633, 5.291265999999999)",Netherlands,"(52.3105386, 4.7682744)","Amsterdam Airport Schiphol (AMS), Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands",241
Melbourne-Essendon Airport,Australia,"(-25.274398, 133.775136)",Australia,"(-37.7274449, 144.897362)","Essendon Airport (MEB), 7 English St, Essendon Fields VIC 3041, Australia",242
S of Lago de Maracaibo,Venezuela,"(6.42375, -66.58973)",Venezuela,"(10.5658321, -71.62586510000001)","Calle 161 Principal, Maracaibo, Zulia, Venezuela",243
Illertissen Airport,Germany,"(51.165691, 10.451526)",Germany,"(48.2355842, 10.1375659)","Flugplatz Illertissen, 89254 Illertissen, Germany",244
Illertissen Airport,Germany,"(51.165691, 10.451526)",Germany,"(48.2355842, 10.1375659)","Flugplatz Illertissen, 89254 Illertissen, Germany",245
Leticia-Alfredo Vásquez Cobo AirportLET),Colombia,"(4.570868, -74.297333)",Colombia,"(-4.1911407, -69.9414123)","Vasquez Cobo International Airport (LET), Avenida Vasquez Cobo, Leticia, Amazonas, Colombia",246
Leticia-Alfredo Vásquez Cobo AirportLET),Colombia,"(4.570868, -74.297333)",Colombia,"(-4.1911407, -69.9414123)","Vasquez Cobo International Airport (LET), Avenida Vasquez Cobo, Leticia, Amazonas, Colombia",247
Leticia-Alfredo Vásquez Cobo AirportLET),Colombia,"(4.570868, -74.297333)",Colombia,"(-4.1911407, -69.9414123)","Vasquez Cobo International Airport (LET), Avenida Vasquez Cobo, Leticia, Amazonas, Colombia",248
"Swan River, Perth, WA",Australia,"(-25.274398, 133.775136)",Australia,"(-31.88729069999999, 115.9148116)","Swan River, Western Australia, Australia",249
Tucson International Airport,United States of America,"(37.09024, -95.712891)",United States,"(32.1145102, -110.9392269)","Tucson International Airport (TUS), 7250 S Tucson Blvd, Tucson, AZ 85756, USA",250
Billings-Logan International Airport,United States of America,"(37.09024, -95.712891)",United States,"(45.8078759, -108.5417844)","Billings Logan International Airport, 1901 Terminal Cir, Billings, MT 59105, USA",251
"Howell-Livingston County Spencer J. Hardy Airport, MI",United States of America,"(37.09024, -95.712891)",United States,"(42.629428, -83.982193)","Livingston County Spencer J. Hardy, Howell, MI 48855, USA",252
Bishkek-Manas International Airport,Kyrgyzstan,"(41.20438, 74.766098)",Kyrgyzstan,"(43.0584523, 74.4730782)","Manas International Airport, Manas Airport Rd, Kyrgyzstan",253
"Scottsdale Airport, AZSCF)",United States of America,"(37.09024, -95.712891)",United States,"(33.6214117, -111.9160187)","Scottsdale Airport (SCF), 15000 N Airport Dr, Scottsdale, AZ 85260, USA",254
"Scottsdale Airport, AZSCF)",United States of America,"(37.09024, -95.712891)",United States,"(33.6214117, -111.9160187)","Scottsdale Airport (SCF), 15000 N Airport Dr, Scottsdale, AZ 85260, USA",255
"Scottsdale Airport, AZSCF)",United States of America,"(37.09024, -95.712891)",United States,"(33.6214117, -111.9160187)","Scottsdale Airport (SCF), 15000 N Airport Dr, Scottsdale, AZ 85260, USA",256
Sasakwa Airstrip,Tanzania,"(-6.369028, 34.888822)",Tanzania,"(-2.0709033, 34.505876)","Sasakwa Airstrip, Tanzania",257
Sasakwa Airstrip,Tanzania,"(-6.369028, 34.888822)",Tanzania,"(-2.0709033, 34.505876)","Sasakwa Airstrip, Tanzania",258
"Floresville, TX",United States of America,"(37.09024, -95.712891)",United States,"(29.1335781, -98.15611919999999)","Floresville, TX 78114, USA",259
Spur,United States of America,"(37.09024, -95.712891)",United States,"(33.4764767, -100.8556857)","Spur, TX 79370, USA",260
Letzlingen,Germany,"(51.165691, 10.451526)",Germany,"(52.4465493, 11.4862361)","Letzlingen, 39638 Gardelegen, Germany",261
"S of Spokane, WA",United States of America,"(37.09024, -95.712891)",United States,"(47.6587802, -117.4260466)","Spokane, WA, USA",262
Spaichingen,Germany,"(51.165691, 10.451526)",Germany,"(48.0748189, 8.7347582)","78549 Spaichingen, Germany",263
Arnsberg,Germany,"(51.165691, 10.451526)",Germany,"(51.4073375, 8.052771)","Arnsberg, Germany",264
Arnsberg,Germany,"(51.165691, 10.451526)",Germany,"(51.4073375, 8.052771)","Arnsberg, Germany",265
Arnsberg,Germany,"(51.165691, 10.451526)",Germany,"(51.4073375, 8.052771)","Arnsberg, Germany",266
Airfield,Germany,"(51.165691, 10.451526)",Germany,"(29.7423211, -104.0638383)","Airfield, Marfa, TX 79843, USA",267
"Dearborn, MI",United States of America,"(37.09024, -95.712891)",United States,"(42.3222599, -83.17631449999999)","Dearborn, MI, USA",268
Nigtevecht,Netherlands,"(52.132633, 5.291265999999999)",Netherlands,"(52.2738533, 5.0285536)","1393 Nigtevecht, Netherlands",269
 Folkestone,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.081397, 1.169456)","Folkestone, UK",270
near Abbeville,France,"(46.227638, 2.213749)",France,"(29.9746502, -92.13429210000001)","Abbeville, LA 70510, USA",271
"Goodwater, AL",United States of America,"(37.09024, -95.712891)",United States,"(33.065675, -86.0533013)","Goodwater, AL 35072, USA",272
"near Hempstead-Roosevelt Field, NY",United States of America,"(37.09024, -95.712891)",United States,"(40.73806310000001, -73.61280769999999)","630 Old Country Rd, Garden City, NY 11530, USA",273
Godstone,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.247571, -0.067578)","Godstone, UK",274
Godstone,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.247571, -0.067578)","Godstone, UK",275
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA","(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",276
 La Spezia,Italy,"(41.87194, 12.56738)",Italy,"(44.1024504, 9.824082599999999)","La Spezia, SP, Italy",277
Edegem,Belgium,"(50.503887, 4.469936)",Belgium,"(51.1559541, 4.4318937)","2650 Edegem, Belgium",278
Grömitz,Germany,"(51.165691, 10.451526)",Germany,"(54.15049, 10.9602356)","Grömitz, Germany",279
Jask Airport,Iran,"(32.427908, 53.688046)",Iran,"(29.955847, -94.0220743)","Jack Brooks Regional Airport, 6000 Air Line Dr, Beaumont, TX 77705, USA",280
Gallup,United States of America,"(37.09024, -95.712891)",United States,"(35.5280783, -108.7425843)","Gallup, NM, USA",281
Emsland,Germany,"(51.165691, 10.451526)",Germany,"(52.7253212, 7.463152499999999)","Emsland, Germany",282
"Saint Paul, MN",United States of America,"(37.09024, -95.712891)",United States,"(44.9537029, -93.0899578)","St Paul, MN, USA",283
 Dungeness,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(48.1467596, -123.1232335)","Dungeness, WA 98382, USA",284
"Paddock Wood, Kent",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.1813239, 0.38477)","Paddock Wood, Tonbridge TN12, UK",285
"San Diego, CA",United States of America,"(37.09024, -95.712891)",United States,"(32.715738, -117.1610838)","San Diego, CA, USA",286
Napoli,Italy,"(41.87194, 12.56738)",Italy,"(40.8517746, 14.2681244)","Naples, Italy",287
"Dearborn, MI",United States of America,"(37.09024, -95.712891)",United States,"(42.3222599, -83.17631449999999)","Dearborn, MI, USA",288
"Epinais, Bretagne",France,"(46.227638, 2.213749)",France,"(48.152566, -1.54981)","Épinais, 35690 Acigné, France",289
"near Toledo, OH",United States of America,"(37.09024, -95.712891)",United States,"(41.6639383, -83.55521200000001)","Toledo, OH, USA",290
"near Toledo, OH",United States of America,"(37.09024, -95.712891)",United States,"(41.6639383, -83.55521200000001)","Toledo, OH, USA",291
"Jennerstown, PA",United States of America,"(37.09024, -95.712891)",United States,"(40.1597979, -79.066417)","Jennerstown, PA, USA",292
"Dearborn, MI",United States of America,"(37.09024, -95.712891)",United States,"(42.3222599, -83.17631449999999)","Dearborn, MI, USA",293
"off Cap de Creus, Spain",Mediterranean Sea,"(34.5531284, 18.0480105)",Mediterranean Sea,"(42.3189134, 3.3158362)","Carretera Cap de Creus, s/n, 17488 Cadaqués, Girona, Spain",294
"Burbank, CA",United States of America,"(37.09024, -95.712891)",United States,"(34.1808392, -118.3089661)","Burbank, CA, USA",295
Iguape,Brazil,"(-14.235004, -51.92528)",Brazil,"(-24.7097632, -47.5562213)","Iguape - State of São Paulo, Brazil",296
"Boulogne, Paris",France,"(46.227638, 2.213749)",France,"(48.8403364, 2.2353825)","114 Route de la Reine, 46 Rue de Billancourt, 92100 Boulogne-Billancourt, France",297
"Ocotal, Nueva Segovia",Nicaragua,"(12.865416, -85.207229)",Nicaragua,"(13.6289038, -86.48449140000001)","Ocotal, Nicaragua",298
JihlavaIglau ,Czech Republic,"(49.81749199999999, 15.472962)",Czechia,"(49.81749199999999, 15.472962)",Czechia,299
"Valley Stream, NY",United States of America,"(37.09024, -95.712891)",United States,"(40.6642699, -73.70846449999999)","Valley Stream, NY, USA",300
Aalsmeer,Netherlands,"(52.132633, 5.291265999999999)",Netherlands,"(52.2606353, 4.7502436)","Aalsmeer, Netherlands",301
"Chicago Municipal Airport, ILMDW)",United States of America,"(37.09024, -95.712891)",United States,"(41.78677589999999, -87.7521884)","Chicago Midway International Airport (MDW), 5700 S Cicero Ave, Chicago, IL 60638, USA",302
"Boston, MA",United States of America,"(37.09024, -95.712891)",United States,"(42.3600825, -71.0588801)","Boston, MA, USA",303
Mount Misim,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(-15.5178669, -71.6936016)","Nevado Mismi, Peru",304
Buenos Aires,Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-34.6036844, -58.3815591)","Buenos Aires, Argentina",305
Cordoba,Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(37.8881751, -4.7793835)","Córdoba, Spain",306
"Marden, Kent",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.188844, 0.5011627)","Marden, UK",307
"San Marcos, TX",United States of America,"(37.09024, -95.712891)",United States,"(29.8832749, -97.9413941)","San Marcos, TX, USA",308
SE off Punta Arenas,Chile,"(-35.675147, -71.542969)",Chile,"(38.8849027, -123.6132542)","Ten Mile Cut Off Rd, Point Arena, CA 95468, USA",309
"Ashley, IN",United States of America,"(37.09024, -95.712891)",United States,"(41.5272725, -85.0655232)","Ashley, IN 46705, USA",310
"Oceanside, CA",United States of America,"(37.09024, -95.712891)",United States,"(33.1958696, -117.3794834)","Oceanside, CA, USA",311
"near Dearborn, MI",United States of America,"(37.09024, -95.712891)",United States,"(42.3222599, -83.17631449999999)","Dearborn, MI, USA",312
"Pittsburgh, PA",United States of America,"(37.09024, -95.712891)",United States,"(40.44062479999999, -79.9958864)","Pittsburgh, PA, USA",313
"Cincinnati, OH",United States of America,"(37.09024, -95.712891)",United States,"(39.1031182, -84.5120196)","Cincinnati, OH, USA",314
