SubLocation,Country,latlon,place,sub_latlon,sub_place
"1,6 km1 mls) NNE of Ouroux",France,"(46.227638, 2.213749)",France,,
Elsdorf,Germany,"(51.165691, 10.451526)",Germany,"(50.9392493, 6.5635008)","Elsdorf, Germany"
"near Atlanta, GA",United States of America,"(37.09024, -95.712891)",United States,"(33.7489954, -84.3879824)","Atlanta, GA, USA"
"3 km1.9 mls) off  San Francisco Municipal Airport, CASFO)",United States of America,"(37.09024, -95.712891)",United States,,
10 km6.3 mls) S of Oran,Algeria,"(28.033886, 1.659626)",Algeria,"(13.8634539, 100.6305782)","44/10 Soi KM. 4, Khwaeng Tha Raeng, Khet Bang Khen, Krung Thep Maha Nakhon 10220, Thailand"
"Sioux City, IA",United States of America,"(37.09024, -95.712891)",United States,"(42.4999942, -96.40030689999999)","Sioux City, IA, USA"
near Facatativá,Colombia,"(4.570868, -74.297333)",Colombia,"(4.809984, -74.35400899999999)","Facatativá, Facatativa, Cundinamarca, Colombia"
"6,5 km4.1 mls) N of San Cristobal",Cuba,"(21.521757, -77.781167)",Cuba,,
Bangkok-Suvarnabhumi International AirportBKK),Thailand,"(15.870032, 100.992541)",Thailand,"(13.6899991, 100.7501124)","Suvarnabhumi Airport (BKK), 999 หมู่ 1 Nong Prue, Amphoe Bang Phli, Chang Wat Samut Prakan 10540, Thailand"
Orchid Island AirportKYD),Taiwan,"(23.69781, 120.960515)",Taiwan,"(22.027815, 121.5357771)","Lanyu Airport (KYD), Lanyu Township, Taitung County, Taiwan 952"
Kopinang Airfield,Guyana,"(4.860416, -58.93018)",Guyana,,
13 km8.1 mls) N of Oksibil AirportOKL),Indonesia,"(-0.789275, 113.921327)",Indonesia,,
Alicante AirportALC),Spain,"(40.46366700000001, -3.74922)",Spain,"(38.285483, -0.560056)","Alicante Airport (ALC), 03195 L'Altet, Alicante, Spain"
Sibu AirportSBW),Malaysia,"(4.210484, 101.975766)",Malaysia,"(2.2560773, 111.9863462)","Sibu Airport, Sibu Airport (SBW), Lapangan Terbang Sibu, 96000 Sibu, Sarawak, Malaysia"
"Tampa International Airport, FLTPA)",United States of America,"(37.09024, -95.712891)",United States,"(27.9834776, -82.5370781)","Tampa International Airport (TPA), 4100 George J Bean Pkwy, Tampa, FL 33607, USA"
Yei Airport,South Sudan,"(6.876991899999999, 31.3069788)",South Sudan,"(40.254596, 29.5568343)","Yolören Mahallesi, Bursa Yenisehir Airport, Bursa Cd. No:50, 16900 Yenişehir/Bursa, Turkey"
La Paragua,Venezuela,"(6.42375, -66.58973)",Venezuela,"(6.835201899999999, -63.35056059999999)","La Paragua, Bolívar, Venezuela"
Jauja-Francisco Carlé AirportJAU),Peru,"(-9.189967, -75.015152)",Peru,"(-11.7840481, -75.47358539999999)","Francisco Carle Airport (JAU), Av Francisco Carle S/N, Jauja, Peru"
Ardabil AirportADU),Iran,"(32.427908, 53.688046)",Iran,"(38.3236124, 48.42172619999999)","Ardabil Province, Ardabil, 16, Ardabil Airport, Iran"
ca 23 km SE of Mutare AirportUTA),Zimbabwe,"(-19.015438, 29.154857)",Zimbabwe,,
"Marietta, GA",United States of America,"(37.09024, -95.712891)",United States,"(33.95260200000001, -84.5499327)","Marietta, GA, USA"
"Boise Air Terminal, IDBOI)",United States of America,"(37.09024, -95.712891)",United States,,
Wau AirportWUU),South Sudan,"(6.876991899999999, 31.3069788)",South Sudan,"(7.725793700000001, 27.9732248)","Wau Airport (WUU), Wau, South Sudan"
Jakarta-Halim Perdana Kusuma AirportHLP),Indonesia,"(-0.789275, 113.921327)",Indonesia,"(-6.267085799999999, 106.8873759)","Halim Perdanakusuma Airport, Jl. Halim Perdana Kusuma, RT.13/RW.4, Halim Perdana Kusumah, Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13610, Indonesia"
Nassau-Lynden Pindling International AirportNAS),Bahamas,"(25.03428, -77.39627999999999)",The Bahamas,"(25.0439288, -77.4655212)","Lynden Pindling International Airport, Windsor Field Road, Nassau, The Bahamas"
"Hamilton Airport, ONYHM/CYHM)",Canada,"(56.130366, -106.346771)",Canada,"(43.1675265, -79.92885319999999)","John C. Munro Hamilton International Airport, 9300 Airport Road, #2206, Mount Hope, ON L0R 1W0, Canada"
"Hamilton Airport, ONYHM/CYHM)",Canada,"(56.130366, -106.346771)",Canada,"(43.1675265, -79.92885319999999)","John C. Munro Hamilton International Airport, 9300 Airport Road, #2206, Mount Hope, ON L0R 1W0, Canada"
"Hamilton Airport, ONYHM/CYHM)",Canada,"(56.130366, -106.346771)",Canada,"(43.1675265, -79.92885319999999)","John C. Munro Hamilton International Airport, 9300 Airport Road, #2206, Mount Hope, ON L0R 1W0, Canada"
"Detroit-Willow Run Airport, MIYIP)",United States of America,"(37.09024, -95.712891)",United States,,
Manchester AirportMAN),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(53.3588026, -2.2727303)","Manchester Airport (MAN), Manchester M90 1QX, UK"
Caracas/La Carlota-Gen. Francisco de Miranda Air Base,Venezuela,"(6.42375, -66.58973)",Venezuela,"(10.4880756, -66.8455195)","Aeropuerto Francisco de Miranda, Caracas, Distrito Capital, Venezuela"
Amsterdam-Schiphol International AirportAMS),Netherlands,"(52.132633, 5.291265999999999)",Netherlands,"(52.3105386, 4.7682744)","Amsterdam Airport Schiphol (AMS), Evert van de Beekstraat 202, 1118 CP Schiphol, Netherlands"
"0,3 km0.2 mls) SE of Melbourne-Essendon Airport, VICMEB)",Australia,"(-25.274398, 133.775136)",Australia,,
S of Lago de Maracaibo,Venezuela,"(6.42375, -66.58973)",Venezuela,"(10.5658321, -71.62586510000001)","Calle 161 Principal, Maracaibo, Zulia, Venezuela"
Illertissen Airport,Germany,"(51.165691, 10.451526)",Germany,"(48.2355842, 10.1375659)","Flugplatz Illertissen, 89254 Illertissen, Germany"
Illertissen Airport,Germany,"(51.165691, 10.451526)",Germany,"(48.2355842, 10.1375659)","Flugplatz Illertissen, 89254 Illertissen, Germany"
Leticia-Alfredo Vásquez Cobo AirportLET),Colombia,"(4.570868, -74.297333)",Colombia,"(-4.1911407, -69.9414123)","Vasquez Cobo International Airport (LET), Avenida Vasquez Cobo, Leticia, Amazonas, Colombia"
Leticia-Alfredo Vásquez Cobo AirportLET),Colombia,"(4.570868, -74.297333)",Colombia,"(-4.1911407, -69.9414123)","Vasquez Cobo International Airport (LET), Avenida Vasquez Cobo, Leticia, Amazonas, Colombia"
Leticia-Alfredo Vásquez Cobo AirportLET),Colombia,"(4.570868, -74.297333)",Colombia,"(-4.1911407, -69.9414123)","Vasquez Cobo International Airport (LET), Avenida Vasquez Cobo, Leticia, Amazonas, Colombia"
"Swan River, Perth, WA",Australia,"(-25.274398, 133.775136)",Australia,"(-31.88729069999999, 115.9148116)","Swan River, Western Australia, Australia"
"Tucson International Airport, AZTUS)",United States of America,"(37.09024, -95.712891)",United States,,
"Billings-Logan International Airport, MTBIL)",United States of America,"(37.09024, -95.712891)",United States,,
"Howell-Livingston County Spencer J. Hardy Airport, MI",United States of America,"(37.09024, -95.712891)",United States,"(42.629428, -83.982193)","Livingston County Spencer J. Hardy, Howell, MI 48855, USA"
1 km0.6 mls) W of Bishkek-Manas International AirportFRU),Kyrgyzstan,"(41.20438, 74.766098)",Kyrgyzstan,,
"Scottsdale Airport, AZSCF)",United States of America,"(37.09024, -95.712891)",United States,"(33.6214117, -111.9160187)","Scottsdale Airport (SCF), 15000 N Airport Dr, Scottsdale, AZ 85260, USA"
"Scottsdale Airport, AZSCF)",United States of America,"(37.09024, -95.712891)",United States,"(33.6214117, -111.9160187)","Scottsdale Airport (SCF), 15000 N Airport Dr, Scottsdale, AZ 85260, USA"
"Scottsdale Airport, AZSCF)",United States of America,"(37.09024, -95.712891)",United States,"(33.6214117, -111.9160187)","Scottsdale Airport (SCF), 15000 N Airport Dr, Scottsdale, AZ 85260, USA"
Sasakwa Airstrip,Tanzania,"(-6.369028, 34.888822)",Tanzania,"(-2.0709033, 34.505876)","Sasakwa Airstrip, Tanzania"
Sasakwa Airstrip,Tanzania,"(-6.369028, 34.888822)",Tanzania,"(-2.0709033, 34.505876)","Sasakwa Airstrip, Tanzania"
"Floresville, TX",United States of America,"(37.09024, -95.712891)",United States,"(29.1335781, -98.15611919999999)","Floresville, TX 78114, USA"
"10 km6.3 mls) N of Spur, TX",United States of America,"(37.09024, -95.712891)",United States,,
Letzlingen,Germany,"(51.165691, 10.451526)",Germany,"(52.4465493, 11.4862361)","Letzlingen, 39638 Gardelegen, Germany"
"S of Spokane, WA",United States of America,"(37.09024, -95.712891)",United States,"(47.6587802, -117.4260466)","Spokane, WA, USA"
Spaichingen,Germany,"(51.165691, 10.451526)",Germany,"(48.0748189, 8.7347582)","78549 Spaichingen, Germany"
Arnsberg,Germany,"(51.165691, 10.451526)",Germany,"(51.4073375, 8.052771)","Arnsberg, Germany"
Arnsberg,Germany,"(51.165691, 10.451526)",Germany,"(51.4073375, 8.052771)","Arnsberg, Germany"
Arnsberg,Germany,"(51.165691, 10.451526)",Germany,"(51.4073375, 8.052771)","Arnsberg, Germany"
3 km1.9 mls) from  Köln-Butzweilerhof Airfield,Germany,"(51.165691, 10.451526)",Germany,,
"Dearborn, MI",United States of America,"(37.09024, -95.712891)",United States,"(42.3222599, -83.17631449999999)","Dearborn, MI, USA"
Nigtevecht,Netherlands,"(52.132633, 5.291265999999999)",Netherlands,"(52.2738533, 5.0285536)","1393 Nigtevecht, Netherlands"
"14,5 km9.1 mls) SE off  Folkestone, Kent [English Channel]",United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
near Abbeville,France,"(46.227638, 2.213749)",France,"(29.9746502, -92.13429210000001)","Abbeville, LA 70510, USA"
"Goodwater, AL",United States of America,"(37.09024, -95.712891)",United States,"(33.065675, -86.0533013)","Goodwater, AL 35072, USA"
"near Hempstead-Roosevelt Field, NY",United States of America,"(37.09024, -95.712891)",United States,"(40.73806310000001, -73.61280769999999)","630 Old Country Rd, Garden City, NY 11530, USA"
"3 km1.9 mls) NNE of Godstone, Surrey",United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"3 km1.9 mls) NNE of Godstone, Surrey",United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
at an unknown location,Unknown country,"(37.5652016, -77.5346972)","Unknown, Richmond, VA 23226, USA",,
15 km9.4 mls) off  La Spezia,Italy,"(41.87194, 12.56738)",Italy,,
Edegem,Belgium,"(50.503887, 4.469936)",Belgium,"(51.1559541, 4.4318937)","2650 Edegem, Belgium"
off Grömitz,Germany,"(51.165691, 10.451526)",Germany,,
Jask Airport,Iran,"(32.427908, 53.688046)",Iran,"(29.955847, -94.0220743)","Jack Brooks Regional Airport, 6000 Air Line Dr, Beaumont, TX 77705, USA"
"42 km26.3 mls) S of Gallup, NM",United States of America,"(37.09024, -95.712891)",United States,,
Emsland,Germany,"(51.165691, 10.451526)",Germany,"(52.7253212, 7.463152499999999)","Emsland, Germany"
"Saint Paul, MN",United States of America,"(37.09024, -95.712891)",United States,"(44.9537029, -93.0899578)","St Paul, MN, USA"
5 km3.1 mls) E off  Dungeness,United Kingdom,"(55.378051, -3.435973)",United Kingdom,,
"Paddock Wood, Kent",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.1813239, 0.38477)","Paddock Wood, Tonbridge TN12, UK"
"San Diego, CA",United States of America,"(37.09024, -95.712891)",United States,"(32.715738, -117.1610838)","San Diego, CA, USA"
Napoli,Italy,"(41.87194, 12.56738)",Italy,"(40.8517746, 14.2681244)","Naples, Italy"
"Dearborn, MI",United States of America,"(37.09024, -95.712891)",United States,"(42.3222599, -83.17631449999999)","Dearborn, MI, USA"
"Epinais, Bretagne",France,"(46.227638, 2.213749)",France,"(48.152566, -1.54981)","Épinais, 35690 Acigné, France"
"near Toledo, OH",United States of America,"(37.09024, -95.712891)",United States,"(41.6639383, -83.55521200000001)","Toledo, OH, USA"
"near Toledo, OH",United States of America,"(37.09024, -95.712891)",United States,"(41.6639383, -83.55521200000001)","Toledo, OH, USA"
"Jennerstown, PA",United States of America,"(37.09024, -95.712891)",United States,"(40.1597979, -79.066417)","Jennerstown, PA, USA"
"Dearborn, MI",United States of America,"(37.09024, -95.712891)",United States,"(42.3222599, -83.17631449999999)","Dearborn, MI, USA"
"off Cap de Creus, Spain",Mediterranean Sea,"(34.5531284, 18.0480105)",Mediterranean Sea,"(42.3189134, 3.3158362)","Carretera Cap de Creus, s/n, 17488 Cadaqués, Girona, Spain"
"Burbank, CA",United States of America,"(37.09024, -95.712891)",United States,"(34.1808392, -118.3089661)","Burbank, CA, USA"
"off Iguape, SP",Brazil,"(-14.235004, -51.92528)",Brazil,,
"Boulogne, Paris",France,"(46.227638, 2.213749)",France,"(48.8403364, 2.2353825)","114 Route de la Reine, 46 Rue de Billancourt, 92100 Boulogne-Billancourt, France"
"Ocotal, Nueva Segovia",Nicaragua,"(12.865416, -85.207229)",Nicaragua,"(13.6289038, -86.48449140000001)","Ocotal, Nicaragua"
JihlavaIglau),Czech Republic,"(49.81749199999999, 15.472962)",Czechia,,
"Valley Stream, NY",United States of America,"(37.09024, -95.712891)",United States,"(40.6642699, -73.70846449999999)","Valley Stream, NY, USA"
Aalsmeer,Netherlands,"(52.132633, 5.291265999999999)",Netherlands,"(52.2606353, 4.7502436)","Aalsmeer, Netherlands"
"Chicago Municipal Airport, ILMDW)",United States of America,"(37.09024, -95.712891)",United States,"(41.78677589999999, -87.7521884)","Chicago Midway International Airport (MDW), 5700 S Cicero Ave, Chicago, IL 60638, USA"
"Boston, MA",United States of America,"(37.09024, -95.712891)",United States,"(42.3600825, -71.0588801)","Boston, MA, USA"
Mount Misim,Papua New Guinea,"(-6.314992999999999, 143.95555)",Papua New Guinea,"(-15.5178669, -71.6936016)","Nevado Mismi, Peru"
Buenos Aires,Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(-34.6036844, -58.3815591)","Buenos Aires, Argentina"
Cordoba,Argentina,"(-38.416097, -63.61667199999999)",Argentina,"(37.8881751, -4.7793835)","Córdoba, Spain"
"Marden, Kent",United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.188844, 0.5011627)","Marden, UK"
"San Marcos, TX",United States of America,"(37.09024, -95.712891)",United States,"(29.8832749, -97.9413941)","San Marcos, TX, USA"
SE off Punta Arenas,Chile,"(-35.675147, -71.542969)",Chile,"(38.8849027, -123.6132542)","Ten Mile Cut Off Rd, Point Arena, CA 95468, USA"
"Ashley, IN",United States of America,"(37.09024, -95.712891)",United States,"(41.5272725, -85.0655232)","Ashley, IN 46705, USA"
"Oceanside, CA",United States of America,"(37.09024, -95.712891)",United States,"(33.1958696, -117.3794834)","Oceanside, CA, USA"
"near Dearborn, MI",United States of America,"(37.09024, -95.712891)",United States,"(42.3222599, -83.17631449999999)","Dearborn, MI, USA"
"Pittsburgh, PA",United States of America,"(37.09024, -95.712891)",United States,"(40.44062479999999, -79.9958864)","Pittsburgh, PA, USA"
"Cincinnati, OH",United States of America,"(37.09024, -95.712891)",United States,"(39.1031182, -84.5120196)","Cincinnati, OH, USA"
Rotterdam-Waalhaven Airport,Netherlands,"(52.132633, 5.291265999999999)",Netherlands,"(51.8889939, 4.441736)","Waalhaven, Rotterdam, Netherlands"
Aswan,Egypt,"(26.820553, 30.802498)",Egypt,"(24.088938, 32.8998293)","Aswan, Aswan Governorate, Egypt"
Malmö-BulltoftaMMA),Sweden,"(60.12816100000001, 18.643501)",Sweden,"(55.6057602, 13.056543)","Mölledalsgatan 159, 212 40 Malmö, Sweden"
Malmö-BulltoftaMMA),Sweden,"(60.12816100000001, 18.643501)",Sweden,"(55.6057602, 13.056543)","Mölledalsgatan 159, 212 40 Malmö, Sweden"
"8 km5 mls) N of Elyria, OH",United States of America,"(37.09024, -95.712891)",United States,,
16 km10 mls) from  Kupang,Indonesia,"(-0.789275, 113.921327)",Indonesia,,
London-Croydon Airport,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.3565427, -0.1176014)","Airport House, Purley Way, Croydon CR0 0XZ, UK"
GexAin),France,"(46.227638, 2.213749)",France,"(46.3341909, 6.058036)","01170 Gex, France"
"near Mohania, Bihar",India,"(20.593684, 78.96288)",India,"(25.1672943, 83.62154020000001)","Mohania, Bihar 821109, India"
Ovalle AirportOVL),Chile,"(-35.675147, -71.542969)",Chile,,
Arequipa AirportAQP),Peru,"(-9.189967, -75.015152)",Peru,"(-16.344812, -71.56799)","Rodriguez Ballon Airport, Aviación, Cerro Colorado, Peru"
"Villamontes, Gran Chaco",Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(-21.2664483, -63.45081070000001)","Villamontes, Bolivia"
"Villamontes, Gran Chaco",Bolivia,"(-16.290154, -63.58865299999999)",Bolivia,"(-21.2664483, -63.45081070000001)","Villamontes, Bolivia"
"El Aceituno, Choluteca",Honduras,"(15.199999, -86.241905)",Honduras,"(13.483333, -87.05000000000001)","El Aceituno, Honduras"
Tubbergen,Netherlands,"(52.132633, 5.291265999999999)",Netherlands,"(52.4089074, 6.7854892)","7651 Tubbergen, Netherlands"
near Munich,Germany,"(51.165691, 10.451526)",Germany,"(48.1351253, 11.5819806)","Munich, Germany"
near Vitacura,Chile,"(-35.675147, -71.542969)",Chile,"(-33.3905211, -70.57241239999999)","Vitacura, Santiago Metropolitan Region, Chile"
"Stirling, IL",United States of America,"(37.09024, -95.712891)",United States,"(41.788642, -89.69621939999999)","Sterling, IL 61081, USA"
Nizhnetambovsk,Russia,"(61.52401, 105.318756)",Russia,"(60.9431185, 76.5433724)","Nizhnevartovsk, Khanty-Mansi Autonomous Okrug, Russia"
Near Ouistreham,France,"(46.227638, 2.213749)",France,"(49.276656, -0.258658)","Ouistreham, France"
Near Ouistreham,France,"(46.227638, 2.213749)",France,"(49.276656, -0.258658)","Ouistreham, France"
off Keri Island [Gulf of Finland],Estonia,"(58.595272, 25.013607)",Estonia,"(59.6987575, 25.023151)","Keri, Harju County, Estonia"
"Riksgränsen, Kiruna",Sweden,"(60.12816100000001, 18.643501)",Sweden,"(68.4300824, 18.125392)","981 94 Riksgränsen, Sweden"
"El Segundo-Maines Field, CA",United States of America,"(37.09024, -95.712891)",United States,,
"Skotten seter, Ringebu, Oppland",Norway,"(60.47202399999999, 8.468945999999999)",Norway,"(61.5009664, 10.3068747)","Ringebu Municipality, 2630 Ringebu, Norway"
"Amot, Osterdalen, Hedmark",Norway,"(60.47202399999999, 8.468945999999999)",Norway,"(61.1675116, 11.3436172)","Hovdmoen, 2450 Rena, Norway"
"Jordbrufjellet, Russanes i Saltdal, Nordland",Norway,"(60.47202399999999, 8.468945999999999)",Norway,,
"Evenesdal, Saltdal, Nordland",Norway,"(60.47202399999999, 8.468945999999999)",Norway,"(66.93003999999999, 15.511848)","Evenesdal, Norway"
"Storfjellet, Saltdal, Nordland",Norway,"(60.47202399999999, 8.468945999999999)",Norway,"(66.9333333, 15.6)","Storfjellet, Saltdal, Norway"
near Arques,France,"(46.227638, 2.213749)",France,"(50.73387, 2.2948)","Arques, France"
Lympne,United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(51.075215, 1.025608)","Lympne, UK"
Merville,France,"(46.227638, 2.213749)",France,"(50.642989, 2.639274)","Merville, France"
Merville AirportHZB),France,"(46.227638, 2.213749)",France,"(50.6259952, 2.6489471)","Merville/Calonne Airport (HZB), Rue du Dr Rousseau, 59660 Merville, France"
Arques,France,"(46.227638, 2.213749)",France,"(50.73387, 2.2948)","Arques, France"
Glasgow-Prestwick AirportPIK),United Kingdom,"(55.378051, -3.435973)",United Kingdom,"(55.5089021, -4.6109806)","Glasgow Prestwick Airport (PIK), 107 Glasgow Prestwick Intnl Airport, Prestwick KA9 2PL, UK"
"Kjerringvatnet, Hattfjelldal, Nordland",Norway,"(60.47202399999999, 8.468945999999999)",Norway,"(65.7527807, 13.8547136)","Kjerringvatnet, Hattfjelldal, Norway"
Barcelona AirportBCN),Spain,"(40.46366700000001, -3.74922)",Spain,"(41.297445, 2.0832941)","Barcelona–El Prat Airport (BCN), 08820 El Prat de Llobregat, Barcelona, Spain"
"35 km21.9 mls) W of Pritchett, CO",United States of America,"(37.09024, -95.712891)",United States,,
Brussels-Haren Airport,Belgium,"(50.503887, 4.469936)",Belgium,"(50.900999, 4.4855744)","Brussels Airport (BRU), Leopoldlaan, 1930 Zaventem, Belgium"
